"citations","pageviews and shares","facebook-hosted discussion","plos-hosted comments","social ref saves","pdf downloads"
"Web of Science cites thru 2010",0.903748770160712,-0.0613020112549232,0.027027170327838,-0.0589145528177959,-0.171771065811513,-0.447844522912697
"Web of Science cites thru 2011",0.0689988982422612,-0.202635552206757,0.139916483021876,0.0222899503711546,0.0328604971647527,0.0519807866044621
"Scopus cites",0.355469465679292,0.0267826684070235,-0.0187807743716944,-0.0231518207023061,-0.11307281912255,-0.157100681949561
"PubMed Central cites",0.0941989947892599,-0.0979353332015206,0.0221236385711414,0.00727204422534724,0.0910703318805314,-0.0822368741635163
"CrossRef cites",0.108839066872229,-0.029819067282409,0.0112455113536028,-0.00295982558015244,-0.00461095727728963,-0.0434872521654196
"PDF downloads",-0.914389799111423,-0.386634306872347,0.403668762551965,0.10590581571919,0.178419282656512,1.68976120627793
"HTML pageviews",0.232944980469926,1.77111503547204,-0.894174067183946,-0.314571950554585,-0.702117457508581,-0.254338885988241
"Mendeley saves",-0.0699975426651294,-0.352275510943954,0.0138256925467856,-0.0135608762758128,0.679619727168148,-0.252990129171616
"CiteULike saves",-0.0383295102074333,-0.274125687227224,0.00229713825167406,-0.0107770125225908,0.548143715054211,-0.238907625501101
"PLoS comments",-0.0727236889197315,-0.326151246245049,-0.0207171778578702,0.916408225195608,0.0261148081906153,-0.0522212209306596
"PLoS comment responses",-0.0138100822541215,-0.0556316214463441,-0.000782413362198388,0.216182183148603,-0.0319234086526122,0.00233411009597457
"Delicious bookmarks",0.0369699924985676,0.129144636802109,-0.121917775974386,-0.0535025186922447,0.137791062374574,-0.183978808603502
"Blog mentions",0.0480166762788605,0.16450614996995,-0.122963208758733,-0.0294034814702772,0.0192850878015076,-0.125118759946916
"Facebook comments",0.0468413525086146,-0.316616354198488,0.648832030205148,-0.0246518842784419,-0.0482446982889318,0.00197215388320746
"Facebook likes",0.0147686683096875,-0.521512972457363,0.667395116280481,0.0236779745913409,0.136235543892588,-0.00910521387885999
"Facebook shares",0.0770119158441663,0.116332919353373,0.12337176978321,-0.0636954460565439,-0.0647647035518376,-0.116297445287152
"Facebook clicks",0.0281654711477071,-0.000499804256573427,0.0649059994883826,-0.00612046280593084,-0.00431980673953449,-0.045367708657508
"F1000 rating",-0.000942911051095096,-0.00651714594887809,0.00203298408095835,0.00428474001160039,0.00832093447110127,-0.000301876166963575
"Wikipedia cites",0.0272719123724948,0.120197325517883,-0.0515207364309772,-0.01396667480339,-0.0746635372211055,-0.0187753763140406
"Twitter mentions",0.0265654531344646,0.141031216454115,-0.0702933564060532,-0.0503768644876667,0.0160226733393323,-0.0963407760190903
