"1","Phylogeny in Aid of the Present and Novel Microbial Lineages: Diversity in Bacillus","10.1371/journal.pone.0004438",1
"2","Contact Networks in a Wildlife-Livestock Host Community: Identifying High-Risk Individuals in the Transmission of Bovine TB among Badgers and Cattle","10.1371/journal.pone.0005016",1
"3","Refuge or Reservoir? The Potential Impacts of the Biofuel Crop Miscanthus x giganteus on a Major Pest of Maize","10.1371/journal.pone.0008336",1
"4","Vision and Foraging in Cormorants: More like Herons than Hawks?","10.1371/journal.pone.0000639",2
"5","Rich Pickings Near Large Communal Roosts Favor ‘Gang’ Foraging by Juvenile Common Ravens, Corvus corax","10.1371/journal.pone.0004530",2
"6","Wind, Waves, and Wing Loading: Morphological Specialization May Limit Range Expansion of Endangered Albatrosses","10.1371/journal.pone.0004016",2
"7","Cognitive Processes Associated with Sequential Tool Use in New Caledonian Crows","10.1371/journal.pone.0006471",3
"8","Claims of Potential Expansion throughout the U.S. by Invasive Python Species Are Contradicted by Ecological Niche Models","10.1371/journal.pone.0002931",3
"9","Why Men Matter: Mating Patterns Drive Evolution of Human Lifespan","10.1371/journal.pone.0000785",3
"10","An Inhibitory Sex Pheromone Tastes Bitter for Drosophila Males","10.1371/journal.pone.0000661",4
"11","Substantial Alterations of the Cutaneous Bacterial Biota in Psoriatic Lesions","10.1371/journal.pone.0002719",4
"12","Community Analysis of Chronic Wound Bacteria Using 16S rRNA Gene-Based Pyrosequencing: Impact of Diabetes and Antibiotics on Chronic Wound Microbiota","10.1371/journal.pone.0006462",4
"13","Effects of Endolithic Parasitism on Invasive and Indigenous Mussels in a Variable Physical Environment","10.1371/journal.pone.0006560",5
"14","Sexual Conflict and Sexually Antagonistic Coevolution in an Annual Plant","10.1371/journal.pone.0005477",5
"15","Antibiotic Treatment of the Tick Vector Amblyomma americanum Reduced Reproductive Fitness","10.1371/journal.pone.0000405",5
